# Simplified netlist  (638 components, 741 nets)
# source: c:\Users\me\Downloads\MB1939.net

== COMPONENTS ==
B1    SW_BLACK_KSC321JLFS KSC3  SWI_C&K_KSC321JLFS  Switch tactile
SB15  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB16  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB17  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB18  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB19  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB20  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB21  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB22  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB23  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB25  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB26  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB27  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB28  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB29  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB30  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB31  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB32  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB33  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB34  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB35  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB36  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB37  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB38  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB39  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB40  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB41  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
